cleaned_text,label
u still fuck with your old bitch disrespectful like shit,0
i love how bitches be talkin how the single life is the best life then bitchin and complaining how they need a boyfriend wtf,0
baseball season for the win yankees this is where the love started,0
both trash but i guess they got tired of chalmers trash starting rt how chalmers lose his job to norris cole lmfaoooo,0
why are nudes called nudes i would rather be like hey girl send me the tits and ass hoe,0
rt me baby i cooked bae whats for dinner me that bitch you been texting,0
pussy ass schedule,0
stay home then bitch fuck u,1
what makes you lose your temper dumb ass bitches who talk shit but wont walk a mil in you own shoes,0
they best not fuss about this basement bitch is like a skating rink,0
its beanie weather bitches,0
all racist ntx trash w all hate to see this particular man in wh n not the butler,1
but yo scary ass dont want to see me tho stfu talking am u know where i be at pussy boy,0
literally fat hoes hold a nigga down,0
bitch thats ham on her face,0
rt i was about to be like r u queer but cmon jen do u even need to ask,0
when i see a super bad bitch and she happen to be from my city i just feel the need to shoot my shot,0
man talk to em rt of course nothing is wrong with applebees if you like trash food,0
jordyn stays making fun of how i eat like a little bitch,0
dope in the bag pretty bitch on the side,0
rt looooool nd best tweaking hoe vine,0
these judges gon try amp hoe floyd if he dont show out this last round,0
red bone but her pusssy hairlessss,0
if a bitch is bad n single she single fo a reasonhoe prolly cray or a runna,0
rt nobody want no pussy other niggas done had before,0
chances make champions nicca aint nothing stopping you,0
rt your opinion is irrelevant because you are a cunt,0
rt dese hoes be ugly af talking bout if i wanted yo boyfriend i could have him bitch you look like a boyfriend,0
that last tweet was just song lyrics i dont really like bad bitches i like pretty chicks bad bitches cheat too easily and too often,0
all these bitches know that youre my nigga,0
singlebecause ill find a cute hoosier to date next year,0
rt yall hoes and yall plastic ass bodies maaaaan smh,0
bitch aint u his lawyer y u thank ery body stfu kill dat bitch to,0
you better work bitch,0
bitches be like it means something to me,0
yall be giving the pooest bitches so much hype stop it,0
rt mac lay on the floor like a matress young based god came straight for the bitches,0
i just cant stand how people get all fucking amped about it especially whiny bitches that even get scared at it,0
rt i peep everything and just know ill slap a bitch with a smile on my face,0
stupid cunt bitch on the road,0
rt real tears rt both these outfits trash but the dyke outfit got me weakkkkkkkk,0
ladies if a nigga always wanna go out and party every weekend he basically side hoe shopping,0
these celebrity niggas be passing these kardashian hoes around monthly,0
smoke good weed with bad bitch and give a good girl bad habits,0
you say that bitch bad but she aint shit to me,0
the day you unblock me you will become a man again but that wont happen so you just a bitch lol,0
wheres my bitch wit my sammich then,0
